route,treatment,factor,comparison,hash_truth_pairs,discovery_retained_n,discovery_retained_rate,comparable_pairs,full_hash_same_n,full_hash_same_rate,specific_hash_same_n,specific_hash_same_rate,fid_truth_functions,baseline_fid_correct_n,baseline_fid_correct_rate,expanded_fid_correct_n,expanded_fid_correct_rate,ambiguous_n,wrong_library_n,expansion_tested,matrix_action
Windows x86-64,analysis_repeat,Analysis repeat,"same bytes, fresh Ghidra project",21858,20180,0.9232317686888096,18810,18810,1.0,18810,1.0,21858,10468,0.4789093238173666,10468,0.4789093238173666,0,0,True,Control: lock the analysis settings
Windows x86-64,compiler_version_contrast,Compiler version,MSVC 14.37 to 14.36,10930,10084,0.9225983531564501,9399,8736,0.9294605809128631,8736,0.9294605809128631,10930,4712,0.4311070448307411,5229,0.47840805123513264,0,0,True,Add compiler-version candidate
Windows x86-64,debug_off,Debug information,debug on to off,10929,10090,0.9232317686888096,9405,9405,1.0,9405,1.0,10929,5234,0.4789093238173666,5234,0.4789093238173666,0,0,True,No extra reference on this route
Windows x86-64,identical_rebuild,Build repeat,same inputs and flags,21858,20180,0.9232317686888096,18810,18810,1.0,18810,1.0,21858,10468,0.4789093238173666,10468,0.4789093238173666,0,0,True,Control: no extra reference
Windows x86-64,lto,Link-time optimisation,off to on,11308,7386,0.6531659002476123,7375,1406,0.19064406779661017,1404,0.1903728813559322,11308,577,0.051025822426600635,580,0.05129112133003184,0,0,True,Retest admission; variant recovered little
Windows x86-64,optimisation_o0,Optimisation,O2 to O0,14882,10084,0.6775970971643597,9405,10,0.001063264221158958,10,0.001063264221158958,14882,7,0.00047036688617121356,9021,0.6061685257357882,0,0,True,Add optimisation candidate
Windows x86-64,post_link_strip,Symbol stripping,unstripped to stripped,10929,10090,0.9232317686888096,9405,9405,1.0,9405,1.0,10929,5234,0.4789093238173666,5234,0.4789093238173666,0,0,True,No extra reference on this route
Windows x86-64,stack_protector,Stack protection,off to strong,10950,10086,0.9210958904109589,9401,8442,0.8979895755770663,8442,0.8979895755770663,10950,4649,0.4245662100456621,5245,0.47899543378995435,0,0,True,Add hardening candidate
ARM32 ELF,isolated_compiler_clang_22,Compiler family,GCC 14.2 to Clang 22,16353,15583,0.9529138384394301,15532,0,0.0,0,0.0,16353,0,0.0,,,0,0,False,Add compiler-family candidate
ARM32 ELF,isolated_target_cpu_cortex_a7,CPU target,generic ARMv7 to Cortex-A7,16036,16032,0.9997505612372163,16032,1785,0.11133982035928144,1745,0.10884481037924151,16036,749,0.046707408331254675,,,0,0,False,Add CPU-target candidate
macOS ARM64,interaction_x01,Compiler x optimisation,Clang 21/O2 to Clang 22/O0,3625,2265,0.6248275862068966,1883,85,0.04514073287307488,65,0.03451938396176314,3356,72,0.021454112038140644,2636,0.7854588796185935,0,0,True,Optional interaction; single factors recover 78.55%
